site_id	site_nr	site_name	utm_x	utm_y	bio_stratum	design_stratum	region	cluster	cluster_name	nat_biodiv_pct	precipitation_dmi	bare_soil_mean	moss_cover_mean	lichen_cover_mean	veg_height_mean	soil_class	airtemp_sd_all	soilm_trimmean_may	vpd_mean_day	surfacetemp_sd_all	light_sd_all	leaf_c_avg	leaf_n_avg	leaf_np_avg	leaf_p_avg	soil_n_avg	soil_p_avg	soil_c_avg	soil_ph_avg	sfi	smi	litter_mass	org_mat	canopy_high_perc	canopy_low_perc	cow_badv3	deer_badv3	hare_badv3	horse_badv3	sheep_badv3	dung_pa	dung_sum	treedensity_40dbh_dec	treedensity_40dbh_con	trees_40dbh_count	trees_40dbh_nospecies	deadwood_badv3	deadwood_vol_ha	flower_vol_sum	ellenberg_f	ellenberg_l	ellenberg_n	ellenberg_n_ph	ellenberg_r	spatcon_1000_pct	spatcon_2000_pct	spatcon_500_pct	spatcon_5000_pct	temp_con	plant_rich	plant_rich_rl	moss_rich	moss_rich_rl	lichen_rich	lichen_rich_rl	fungi_rich	fungi_rich_rl	collembol_rich	gastropod_rich	carabid_rich	carabid_rich_rl	apoidea_rich	apoidea_rich_rl	araneae_rich	araneae_rich_rl	syrphidae_rich	syrphidae_rich_rl	arthropod_rich_other
NV001	1	Råbjerg Kirke	581439,69	6388139,47	EarlyDryPoor	EarlyDryPoor	Njut	NV	Vendsyssel	60,11	765,50	4,00	35,00	17,50	8,06	Sand	4,04	9,48	0,48	10,76	5984,31	45,59	1,75	8,82	0,20	301,42	21,74	8195,76	5,27	2,76	4,83	217,29	0,00	3,41	2,76	0,00	0,00	3,27	0,27	0,00	1	3,55	0,00	0,00	0	0	0,00	0,00	60,57	4,81	7,00	2,49	0,64	3,90	51,67	50,00	60,00	18,33	4	29	0	12	0	26	6	39	1	9	0	8	2	3	0	22	1	4	0	68
NV002	2	Uggerby Stand	564449,3	6383379,45	EarlyWetRich	EarlyWetRich	Njut	NV	Vendsyssel	34,66	760,20	15,00	40,00	0,00	16,00	Sand	3,36	71,98	0,33	6,20	4708,85	43,56	2,16	9,51	0,23	26,22	16,57	88,51	7,94	4,31	7,51	326,70	3,75	0,00	1,08	0,00	0,00	0,00	0,00	0,00	0	0,00	0,00	0,00	0	0	0,00	0,00	49,88	7,81	6,24	4,71	0,76	6,18	2,00	1,00	8,00	0,50	1	68	0	22	1	6	0	32	1	7	5	0	0	2	0	18	0	13	0	79
NV003	3	Råbjerg Mile	583804,52	6390025,19	EarlyWetPoor	EarlyWetPoor	Njut	NV	Vendsyssel	70,45	733,90	26,25	0,50	0,00	7,19	Sand	2,85	71,41	0,22	4,66	4707,29	44,95	2,04	11,37	0,18	81,39	5,50	933,50	4,55	2,69	7,44	8,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0	0,00	0,00	0,00	0	0	0,00	0,00	109,30	8,69	5,91	2,90	0,58	4,97	13,33	4,33	20,00	0,83	2	35	1	13	0	0	0	6	1	2	0	8	2	1	0	14	0	2	0	63
NV004	4	Kjærsgård	555479,38	6375310,31	Agricultural	Field	Njut	NV	Vendsyssel	4,13	763,40	20,00	2,00	0,00	74,75	Sand	3,71	18,61	0,28	4,70	2255,35	45,56	3,43	9,13	0,38	270,51	54,04	820,72	5,69	4,86	5,22	24,26	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0	0,00	0,00	0,00	0	0	0,00	0,00	0,31	4,89	6,38	6,21	0,96	6,49	76,67	53,33	86,67	53,33	3	21	0	5	0	0	0	4	0	11	0	20	0	0	0	17	0	5	0	35
NV005	5	Vandplasken	552708,44	6375363,04	EarlyWetRich	Hotspot	Njut	NV	Vendsyssel	90,17	763,40	21,25	20,00	0,00	14,06	Sand_clay	3,49	72,09	0,31	5,26	3348,38	45,25	2,43	11,89	0,20	192,37	15,51	5603,03	7,75	4,78	7,52	31,46	0,00	0,00	0,00	0,08	0,00	0,00	0,00	0,00	1	0,08	0,00	0,00	0	0	0,00	0,00	275,32	7,15	6,81	3,30	0,57	5,76	5,67	2,00	13,33	0,40	4	96	5	43	3	11	0	85	9	8	6	3	2	1	0	20	0	3	0	57
NV006	6	Uggerby Skovvej	564599,65	6382577,45	Agricultural	Ley	Njut	NV	Vendsyssel	83,33	760,20	3,00	5,25	0,00	9,63	Sand	4,29	12,04	0,33	10,40	5441,04	44,83	1,97	5,28	0,37	334,79	39,67	8231,48	5,68	3,92	4,94	47,05	0,63	0,00	0,00	0,00	0,00	0,04	0,00	0,00	1	0,04	0,00	0,00	0	0	0,00	0,00	253,90	4,49	6,74	4,02	0,72	5,56	5,00	2,33	14,00	1,33	2	48	0	8	0	4	1	22	0	7	5	5	0	1	0	27	2	11	0	89
NV007	7	Kjul Strand	563198,46	6383593,72	EarlyWetRich	MidMoistRich	Njut	NV	Vendsyssel	45,67	760,20	0,50	1,75	0,00	105,00	Sand	3,53	58,00	0,23	4,35	2105,22	45,61	3,17	10,54	0,30	132,93	14,53	3431,62	6,80	4,96	6,91	349,43	12,50	0,00	1,61	0,00	0,00	0,00	0,00	0,00	1	0,00	0,00	0,00	0	0	0,00	0,00	8,41	7,52	5,60	5,01	0,81	6,16	3,00	1,00	7,00	0,07	1	67	0	18	0	1	0	34	0	15	9	10	0	4	0	35	0	17	0	92
NV008	8	Bunken	583990,12	6389854,31	EarlyWetPoor	MidWetPoor	Njut	NV	Vendsyssel	80,62	765,50	0,00	21,25	0,00	54,50	Sand	4,45	60,40	0,30	4,33	1204,73	46,06	2,46	12,74	0,19	245,31	31,10	7469,85	4,47	3,12	7,02	608,56	30,00	0,00	1,31	0,00	0,00	0,00	0,00	0,00	0	0,00	0,00	0,00	0	0	0,00	0,00	32,22	8,62	6,55	3,38	0,66	5,15	5,00	3,00	3,67	1,00	3	30	0	7	0	11	1	29	1	12	3	8	0	2	0	28	0	8	0	98
NV009	9	Tversted Plantage	574170,34	6384472,73	LateDryPoor	Plantation	Njut	NV	Vendsyssel	88,65	772,10	3,25	90,00	0,00	0,00	Sand	3,11	21,38	0,30	4,22	1063,66	45,08	1,55	4,78	0,33	76,57	2,22	1927,59	4,19	3,40	5,35	557,20	70,00	17,23	2,77	0,00	0,00	0,00	0,00	0,00	0	0,00	0,00	0,06	7	1	0,15	0,00	0,00	5,49	3,69	4,00	1,20	3,33	23,33	11,33	23,33	2,33	3	12	0	22	0	8	1	65	0	11	5	5	0	1	0	31	0	2	0	33
NT010	10	Kællingdal	479149,59	6330450,88	EarlyDryRich	EarlyDryRich	Njut	NT	Thy	29,62	870,40	0,50	19,00	0,00	13,94	Sand_clay	3,93	23,38	0,17	3,27	624,60	41,41	1,85	13,54	0,14	248,35	19,15	3728,71	6,27	4,06	5,60	12,25	0,00	0,00	0,00	0,00	0,00	0,17	0,00	0,00	1	0,17	0,00	0,00	0	0	0,00	0,00	5,50	5,02	6,70	3,59	0,61	5,90	5,67	2,67	11,33	1,33	4	51	2	15	2	2	1	41	11	12	8	4	0	1	0	34	0	1	0	86
NT011	11	Lild Strand	497046,4	6333482	EarlyWetPoor	EarlyMoistPoor	Njut	NT	Thy	75,22	845,00	0,00	22,50	0,75	9,94	Sand	4,90	41,71	0,41	7,99	3771,73	45,12	2,05	8,51	0,25	187,00	8,54	5860,39	4,57	3,42	6,34	62,19	27,50	0,00	0,00	0,04	0,01	0,00	0,00	0,00	1	0,05	0,00	0,00	0	0	0,00	0,00	6,88	6,09	6,78	2,43	0,68	3,57	5,33	2,67	13,33	2,33	4	33	0	26	0	19	2	54	1	7	0	8	1	2	0	22	0	1	0	66
NT012	12	Raspkær	473347,36	6321636,52	EarlyWetPoor	LateMoistPoor	Njut	NT	Thy	99,58	870,40	7,00	17,50	0,00	21,56	Sand	4,64	37,63	0,34	5,87	1597,23	46,53	3,02	13,75	0,22	34,31	3,27	1395,38	4,95	3,42	6,21	338,78	26,25	10,24	2,64	0,00	0,20	0,00	0,00	0,00	1	0,21	0,00	0,07	0	0	0,01	0,01	151,68	6,37	6,60	2,10	0,76	2,77	21,67	7,33	31,67	3,00	3	18	0	18	0	15	6	75	1	7	1	8	0	5	0	26	0	9	2	70
NT013	13	Tømmerby Fjord	495752,92	6323436,49	LateWetPoor	LateWetPoor	Njut	NT	Thy	89,66	829,40	21,25	57,50	0,00	14,63	Sand	3,59	61,01	0,17	3,47	440,29	45,07	3,23	11,42	0,28	73,44	3,58	1561,37	4,24	4,38	7,15	373,70	55,00	12,45	2,71	0,00	0,37	0,00	0,00	0,00	1	0,37	0,20	0,05	3	1	0,09	0,16	0,00	6,95	5,19	3,07	0,94	3,28	6,00	2,00	13,33	0,37	2	35	1	38	0	22	4	150	2	10	6	3	0	0	0	35	0	2	0	58
